Hugo_Symbol	U-CLL	M-CLL	De_leval
ATM	FALSE	TRUE	TRUE
BCOR	TRUE	FALSE	TRUE
BIRC3	TRUE	FALSE	TRUE
BRAF	TRUE	FALSE	TRUE
CHD2	FALSE	TRUE	TRUE
DDX3X	TRUE	FALSE	TRUE
EGR2	TRUE	FALSE	TRUE
FAT4	FALSE	TRUE	TRUE
KLHL6	FALSE	TRUE	TRUE
MED12	TRUE	FALSE	TRUE
MGA	TRUE	FALSE	TRUE
MYD88	FALSE	TRUE	TRUE
NOTCH1	TRUE	FALSE	TRUE
POT1	TRUE	FALSE	TRUE
SETD1A	TRUE	FALSE	TRUE
SF3B1	TRUE	TRUE	TRUE
TP53	TRUE	FALSE	TRUE
XPO1	TRUE	FALSE	TRUE
ZMYM3	TRUE	FALSE	TRUE
ZNF292	FALSE	TRUE	TRUE
