Gene	citekey	Tier	QC	Novel
DDX10	zhangGeneticHeterogeneityDiffuse2013	2	NA	TRUE
DIAPH3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
DIP2B	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
DLGAP1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
DMXL1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
DOCK2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
DOLK	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
DSC2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
DSCAML1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
DSG2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
DSP	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
DTX1	zhangGeneticHeterogeneityDiffuse2013	1	NA	TRUE
DUOXA2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
DUPD1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
DYNC1H1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
DYNC1I1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ECGF1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
EPHA3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
EPHA5	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
EPHA7	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ERBB3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ERN2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
EXTL3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
EZH2	morinSomaticMutationsAltering2010a	1	NA	FALSE
FAM62C	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
FANCD2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
FBXW7	zhangGeneticHeterogeneityDiffuse2013	1	NA	TRUE
FGD3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
FGFR1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
FIGN	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
FLNC	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
FMO2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
FRMPD1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
GABRG1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
GCN1L1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
GJA8	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
GJB4	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
GNA13	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
GOPC	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
GPD2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
GPR133	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
GPR15	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
GREM2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
GRIA2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
GRM5	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
H6PD	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
HACE1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
HCK	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
HIPK3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
HIST1H1C	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
HIST1H1E	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
HIST1H2BK	zhangGeneticHeterogeneityDiffuse2013	1	NA	TRUE
HIST1H3B	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
HIST1H4I	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
HK3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
HNRNPR	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
HSF2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
IDH1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
INSC	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
INTS6	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
IQGAP1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
IQUB	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
IRF8	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
ITGA2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ITGA8	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ITGB3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
JAG1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
JAKMIP2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
KCNA3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
KCNAB3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
KCNJ6	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
KCNT2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
KDR	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
KIF21B	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
KIT	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
KLB	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
KLC3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
KLF4	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
KLHL14	zhangGeneticHeterogeneityDiffuse2013	1	NA	TRUE
KRT6A	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
LEPREL1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
LIFR	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
LILRA2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
LIN7C	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
LPHN2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
LRAP	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
LRIG3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
LRP1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
LRP10	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
LRP1B	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
LRP3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
LRRN3	zhangGeneticHeterogeneityDiffuse2013	1	NA	TRUE
LYST	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
MBL2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
MED13L	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
MEF2B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
MIB1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
KMT2C	zhangGeneticHeterogeneityDiffuse2013	1	NA	TRUE
MN1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
MORC2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
MPL	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
MTMR3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
MTOR	zhangGeneticHeterogeneityDiffuse2013	1	NA	TRUE
MYC	pasqualucciHypermutationMultipleProtooncogenes2001a	1	NA	FALSE
MYD88	ngoOncogenicallyActiveMYD882011a	1	NA	FALSE
MYL7	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
MYO5C	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
MYRIP	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
NDUFS1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
NELL2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
NF1	zhangGeneticHeterogeneityDiffuse2013	2	NA	TRUE
NFIB	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
NFX1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
NGFR	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
NIPBL	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
NLGN2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
NLRP7	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
