Gene
KMT2D
CREBBP
TP53
MYOM2
TNFAIP3
PIM1
CD36
B2M
CD79B
PRDM1
CARD11
BCL2
MEF2B
MYD88
ANKLE2
KDM2B
HNF1B
MYC
CD58
EZH2
ADAMTSL3
AKAP8
C12orf35
CCND3
DCHS1
DUSP27
MAGEC3
TLL2
TMEM30A
EP300
DPYD
DSC3
KLF2
MED12L
MTMR8
PMS1
TSC22D1
OFD1
TRAF3
BCL2L10
BRSK1
CAMTA1
CYTSB
DUSP9
FBXO31
GRB2
HMGB1
MYO1G
PPP2R5A
RASGEF1A
RGAG1
SERPINA1
SMARCA1
ZNF521
ZWILCH
NOTCH1

