pmid	doi	year	title	Hugo_Symbol
31221981	10.1038/s12276-019-0230-6	2019	The cancer driver genes IDH1/2, JARID1C/ KDM5C, and UTX/ KDM6A: crosstalk between histone demethylation and hypoxic reprogramming in cancer metabolism.	ARID5B
29504848	10.1080/08916934.2018.1446525	2018	Signalling pathways identified in salivary glands from primary Sjögren's syndrome patients reveal enhanced adipose tissue development.	ARID5B
24707947	10.3109/10428194.2014.910662	2015	Genetic markers in a multi-ethnic sample for childhood acute lymphoblastic leukemia risk.	ARID5B
23382691	10.1371/journal.pgen.1003225	2013	Loci associated with N-glycosylation of human immunoglobulin G show pleiotropy with autoimmune diseases and haematological cancers.	ARID5B
