pmid	doi	year	title	Hugo_Symbol
33232972	10.1182/blood.2020005244	2021	Adaptive T-cell immunity controls senescence-prone MyD88- or CARD11-mutant B-cell lymphomas.	NFKBIZ
29289361	10.1016/j.blre.2017.12.001	2018	The pathobiology of primary testicular diffuse large B-cell lymphoma: Implications for novel therapies.	NFKBIZ
30401751	10.1182/bloodadvances.2018022962	2018	Insights into the genomic landscape of MYD88 wild-type Waldenström macroglobulinemia.	NFKBIZ
26647218	10.1158/1078-0432.CCR-15-2123	2016	Genetic Landscapes of Relapsed and Refractory Diffuse Large B-Cell Lymphomas.	NFKBIZ
26869285	10.1002/cam4.650	2016	Machine learning-based classification of diffuse large B-cell lymphoma patients by eight gene expression profiles.	NFKBIZ
