pmid	doi	year	title	Hugo_Symbol
27161658	10.1016/j.jmoldx.2016.03.004	2016	Genome-Wide Single-Nucleotide Polymorphism Array Analysis Improves Prognostication of Acute Lymphoblastic Leukemia/Lymphoma.	P2RY8
27959929	10.1371/journal.pmed.1002197	2016	Histological Transformation and Progression in Follicular Lymphoma: A Clonal Evolution Study.	P2RY8
25274307	10.1038/nature13765	2014	Loss of signalling via Gα13 in germinal centre B-cell-derived lymphoma.	P2RY8
22343534	10.1073/pnas.1121343109	2012	Discovery and prioritization of somatic mutations in diffuse large B-cell lymphoma (DLBCL) by whole-exome sequencing.	P2RY8
