pmid	doi	year	title	Hugo_Symbol
33738662	10.1007/s11064-021-03286-1	2021	LncRNA XIST Promoted OGD-Induced Neuronal Injury Through Modulating/miR-455-3p/TIPARP Axis.	TIPARP
28213497	10.1073/pnas.1621508114	2018	Mitochondrial damage elicits a TCDD-inducible poly(ADP-ribose) polymerase-mediated antiviral response.	TIPARP
