pmid	doi	year	title	Hugo_Symbol
29545328	10.1182/blood-2017-11-817601	2018	Genetic landscape of hepatitis B virus-associated diffuse large B-cell lymphoma.	ZFP36L1
28142295	10.1080/10428194.2017.1283029	2017	Identification of a tumor suppressor network in T-cell leukemia.	ZFP36L1
20622884	10.1038/ni.1901	2010	Deletion of the RNA-binding proteins ZFP36L1 and ZFP36L2 leads to perturbed thymic development and T lymphoblastic leukemia.	ZFP36L1
11156427		2000	Anti-CD20- and B-cell receptor-mediated apoptosis: evidence for shared intracellular signaling pathways.	ZFP36L1
9191350	10.1042/bst025306s	1997	Distinct mechanisms for rescue from apoptosis in Ramos human B cells by signalling through CD40 and interleukin-4 receptor: role for inhibition of an early response gene, Berg36.	ZFP36L1
8898945	10.1002/eji.1830261013	1996	Distinct mechanisms for rescue from apoptosis in Ramos human B cells by signaling through CD40 and interleukin-4 receptor: role for inhibition of an early response gene, Berg36.	ZFP36L1
