pmid	doi	year	title	Hugo_Symbol
34511583	10.3960/jslrt.21015	2021	The biology of the tumor microenvironment in DLBCL: Targeting the don't eat me signal.	TMEM30A
32094924	10.1038/s41591-020-0757-z	2020	TMEM30A loss-of-function mutations drive lymphomagenesis and confer therapeutically exploitable vulnerability in B-cell lymphoma.	TMEM30A
25991819	10.1158/1078-0432.CCR-14-2116	2015	Genome-Wide Analysis Uncovers Novel Recurrent Alterations in Primary Central Nervous System Lymphomas.	TMEM30A
