pmid	doi	year	title	Hugo_Symbol
33646306	10.1182/bloodadvances.2020001844	2021	Genome-wide interference of ZNF423 with B-lineage transcriptional circuitries in acute lymphoblastic leukemia.	ZNF423
26788497	10.1155/2015/165238	2016	ZNF423 and ZNF521: EBF1 Antagonists of Potential Relevance in B-Lymphoid Malignancies.	ZNF423
23382691	10.1371/journal.pgen.1003225	2013	Loci associated with N-glycosylation of human immunoglobulin G show pleiotropy with autoimmune diseases and haematological cancers.	ZNF423
24081948	10.1084/jem.20130497	2013	Aberrant ZNF423 impedes B cell differentiation and is linked to adverse outcome of ETV6-RUNX1 negative B precursor acute lymphoblastic leukemia.	ZNF423
