pmid	doi	year	title	Hugo_Symbol
25941598	10.4161/21624011.2014.970025	2021	Ectopic expression of embryonic stem cell and other developmental genes in cutaneous T-cell lymphoma.	ZFX
31310241	10.18632/aging.102080	2020	CCAT1 promotes triple-negative breast cancer progression by suppressing miR-218/ZFX signaling.	ZFX
25441684	10.1016/j.cancergen.2014.08.007	2015	Knockdown of ZFX suppresses renal carcinoma cell growth and induces apoptosis.	ZFX
24485662	10.1016/j.celrep.2014.01.007	2014	ZFX controls propagation and prevents differentiation of acute T-lymphoblastic and myeloid leukemia.	ZFX
23866268		2013	[Expression of zinc finger protein X-linked in childhood B lineage acute lymphoblastic leukemia].	ZFX
17255358	10.1182/blood-2006-09-046391	2007	Clinical quantitation of diagnostic and predictive gene expression levels in follicular and diffuse large B-cell lymphoma by RT-PCR gene expression profiling.	ZFX
