pmid	doi	year	title	Hugo_Symbol
30802265	10.1371/journal.pone.0212813	2019	Unraveling transformation of follicular lymphoma to diffuse large B-cell lymphoma.	UBE2A
26124562	10.6026/97320630011207	2015	Identification of collaborative activities with oxidative phosphorylation in bipolar disorder.	UBE2A
25171927	10.1182/blood-2013-12-546309	2014	Exome sequencing reveals novel mutation targets in diffuse large B-cell lymphomas derived from Chinese patients.	UBE2A
